lap,Start,Lakes Start,2nd Lake,Lakes End,Finish
Lipno_Classic_1 1,0.0,-110.738364544625,-187.03480614750003,-253.2986377842501,-292.42907903437504
Lipno_Classic_2 1,0.0,-110.572556514625,-188.6757854855,-258.3420385922501,-295.391132216375
Lipno_practice_1 1,0.0,90.381076145375,245.67941704550003,,
Lipno_practice_1 2,0.0,-32.580965004625,-66.03846707050002,-62.037478517250065,-92.611160052375
Lipno_practice_1 3,,,,0.0,-33.238852657124994
Lipno_practice_2 1,0.0,95.858285577375,44.15501922149997,56.96541870074998,190.6821889836251
Lipno_practice_2 2,0.0,322.52990311937504,328.77158076550006,335.8702942327501,384.6960653866249
Lipno_practice_2 3,0.0,-102.71671325062499,135.10817932550003,91.08212946574997,48.95997213462499
Lipno_practice_2 4,0.0,-103.693702970625,-77.19670272849999,9.112310033749964,19.78517801462499
Lipno_practice_2 5,0.0,41.91411358837502,10.910982119499977,80.64800246074992,36.307966783625034
